"","reads.in","reads.out"
"170714_M03291_0074_000000000-AV4VF_302_S3_L001_R1_001.fastq",49165,45636
"170714_M03291_0074_000000000-AV4VF_307_S4_L001_R1_001.fastq",212073,191644
"170714_M03291_0074_000000000-AV4VF_309_S5_L001_R1_001.fastq",93053,82212
"170714_M03291_0074_000000000-AV4VF_31_S140_L001_R1_001.fastq",6,4
"170714_M03291_0074_000000000-AV4VF_310_S7_L001_R1_001.fastq",111106,100833
"170714_M03291_0074_000000000-AV4VF_312_S149_L001_R1_001.fastq",2244,1598
"170714_M03291_0074_000000000-AV4VF_318_S67_L001_R1_001.fastq",99989,87245
"170714_M03291_0074_000000000-AV4VF_319_S66_L001_R1_001.fastq",43383,36721
"170714_M03291_0074_000000000-AV4VF_326_S65_L001_R1_001.fastq",23972,20019
"170714_M03291_0074_000000000-AV4VF_336_S110_L001_R1_001.fastq",7285,6465
"170714_M03291_0074_000000000-AV4VF_338_S111_L001_R1_001.fastq",246,210
"170714_M03291_0074_000000000-AV4VF_34_S71_L001_R1_001.fastq",66101,60305
"170714_M03291_0074_000000000-AV4VF_35_S70_L001_R1_001.fastq",346023,316267
"170714_M03291_0074_000000000-AV4VF_36_S69_L001_R1_001.fastq",73801,68184
"170714_M03291_0074_000000000-AV4VF_366_S112_L001_R1_001.fastq",559,482
"170714_M03291_0074_000000000-AV4VF_368_S113_L001_R1_001.fastq",36416,34013
"170714_M03291_0074_000000000-AV4VF_369_S114_L001_R1_001.fastq",23727,20364
"170714_M03291_0074_000000000-AV4VF_371_S150_L001_R1_001.fastq",2526,2242
"170714_M03291_0074_000000000-AV4VF_372_S151_L001_R1_001.fastq",11454,9445
"170714_M03291_0074_000000000-AV4VF_375_S153_L001_R1_001.fastq",2677,2342
"170714_M03291_0074_000000000-AV4VF_377_S154_L001_R1_001.fastq",3921,3519
"170714_M03291_0074_000000000-AV4VF_378_S155_L001_R1_001.fastq",5552,4928
"170714_M03291_0074_000000000-AV4VF_379_S156_L001_R1_001.fastq",2644,2319
"170714_M03291_0074_000000000-AV4VF_382_S152_L001_R1_001.fastq",1014,892
"170714_M03291_0074_000000000-AV4VF_383_S157_L001_R1_001.fastq",18,17
"170714_M03291_0074_000000000-AV4VF_384_S158_L001_R1_001.fastq",18768,17205
"170714_M03291_0074_000000000-AV4VF_4_S9_L001_R1_001.fastq",282473,254946
"170714_M03291_0074_000000000-AV4VF_42_S68_L001_R1_001.fastq",37732,34776
"170714_M03291_0074_000000000-AV4VF_5_S10_L001_R1_001.fastq",104300,95699
"170714_M03291_0074_000000000-AV4VF_54_S146_L001_R1_001.fastq",56516,49887
"170714_M03291_0074_000000000-AV4VF_56_S125_L001_R1_001.fastq",187,177
"170714_M03291_0074_000000000-AV4VF_57_S126_L001_R1_001.fastq",859,807
"170714_M03291_0074_000000000-AV4VF_6_S11_L001_R1_001.fastq",10320,9196
